Date,City,Average Temperature,Country,Language,Climate,Population from csv,population from API,population diff
2023-12-20 23:28:33.527658,San Antonio,19.55,United States,English,Temp,1547253,1327407,219846
2023-12-20 23:28:33.595722,San Diego,17.71,United States,English,Mild,1423851,1307402,116449
2023-12-20 23:28:33.672968,San Francisco,14.39,United States,English,Mild,881549,805235,76314
2023-12-20 23:28:33.783480,San Jose,15.42,United States,English,Mild,1030119,945942,84177
2023-12-20 23:28:33.885719,San Luis Potosi,13.54,Mexico,Spanish,Mild,722772,2391929,1669157
2023-12-20 23:28:33.989230,Santiago,24.35,Chile,Spanish,Various,5037246,4837295,199951
2023-12-20 23:28:34.059778,São Paulo,22.02,Brazil,Portuguese,Tropical,12106920,10021295,2085625
2023-12-20 23:28:34.225661,Sapporo,-5.5,Japan,Japanese,Cool humid continental,1968000,15000,1953000
2023-12-20 23:28:34.330932,Saskatoon,-0.83,Canada,English,Temp,246376,198958,47418
2023-12-20 23:28:34.395799,Seattle,7.16,United States,English,Mild,769714,608660,161054
2023-12-20 23:28:34.455841,Seattle,7.16,United States,English,Mild,769714,608660,161054
2023-12-20 23:28:34.568984,Sendai,0.48,Japan,Japanese,Humid subtropical,1047000,1037562,9438
2023-12-20 23:28:34.687046,St. Catharines,2.12,Canada,English,Temp,133113,131989,1124
2023-12-20 23:28:34.787347,St. John's,2.47,Canada,English,Temp,214075,99182,114893
2023-12-20 23:28:34.896658,Strasbourg,7.91,France,French,Temperate,284677,15000,269677
2023-12-20 23:28:34.992197,Stuttgart,7.29,Germany,German,Temperate,634830,589793,45037
2023-12-20 23:28:35.088362,Surrey,9.03,Canada,English,Mild,604379,1085400,481021
2023-12-20 23:28:35.148348,Sydney,19.83,Australia,English,Mild,5312163,1000000,4312163
2023-12-20 23:28:35.280109,Thunder Bay,-0.23,Canada,English,Temp,109140,99334,9806
2023-12-20 23:28:35.375993,Tijuana,18.18,Mexico,Spanish,Mild,1828844,1376457,452387
2023-12-20 23:28:35.440834,Tokyo,5.58,Japan,Japanese,Humid,13929286,12445327,1483959
2023-12-20 23:28:35.540980,Toluca,14.22,Mexico,Spanish,Mild,872044,505881,366163
2023-12-20 23:28:35.600994,Toronto,1.35,Canada,English,Temp,2731571,4612191,1880620
2023-12-20 23:28:35.698992,Toulouse,9.02,France,French,Temperate,479553,433055,46498
2023-12-20 23:28:35.759962,Tucson,17.12,United States,English,Desert,541811,520116,21695
2023-12-20 23:28:35.872788,Turin,5.74,Italy,Italian,Temperate,872367,2297598,1425231
2023-12-20 23:28:35.935409,Vancouver,7.35,Canada,English,Mild,631486,1837969,1206483
2023-12-20 23:28:36.001745,Vaughan,0.34,Canada,English,Temp,306233,238866,67367
2023-12-20 23:28:36.070160,Victoria,11.54,Canada,English,Mild,367770,7012738,6644968
2023-12-20 23:28:36.134102,Washington,2.3,United States,English,Temp,692683,6271775,5579092
2023-12-20 23:28:36.195861,Winnipeg,-3.53,Canada,English,Temp,705244,632063,73181
2023-12-20 23:28:36.295849,Yokohama,6.3,Japan,Japanese,Humid subtropical,3775000,3574443,200557
