Date,City,Average Temperature,Country,Language,Climate,Population from csv,population from API,population diff
2023-12-20 23:34:37.818055,Santiago,24.32,Chile,Spanish,Various,5037246,0,5037246
2023-12-20 23:34:38.393953,São Paulo,21.9,Brazil,Portuguese,Tropical,12106920,0,12106920
2023-12-20 23:34:38.868117,Sapporo,-5.56,Japan,Japanese,Cool humid continental,1968000,15000,1953000
2023-12-20 23:34:39.341885,Saskatoon,-0.79,Canada,English,Temp,246376,0,246376
2023-12-20 23:34:40.099344,Seattle,7.08,United States,English,Mild,769714,608660,161054
2023-12-20 23:34:40.592873,Seattle,7.08,United States,English,Mild,769714,608660,161054
2023-12-20 23:34:41.101523,Sendai,0.47,Japan,Japanese,Humid subtropical,1047000,1037562,9438
2023-12-20 23:34:41.540923,St. Catharines,2.19,Canada,English,Temp,133113,131989,1124
2023-12-20 23:34:42.193246,St. John's,2.48,Canada,English,Temp,214075,99182,114893
2023-12-20 23:34:42.644555,Strasbourg,9.54,France,French,Temperate,284677,0,284677
2023-12-20 23:34:43.142884,Stuttgart,7.31,Germany,German,Temperate,634830,589793,45037
2023-12-20 23:34:43.685177,Surrey,6.85,Canada,English,Mild,604379,0,604379
2023-12-20 23:34:44.337414,Sydney,19.78,Australia,English,Mild,5312163,0,5312163
2023-12-20 23:34:44.831284,Thunder Bay,-0.01,Canada,English,Temp,109140,99334,9806
2023-12-20 23:34:45.318782,Tijuana,16.93,Mexico,Spanish,Mild,1828844,0,1828844
2023-12-20 23:34:45.882524,Tokyo,5.51,Japan,Japanese,Humid,13929286,12445327,1483959
2023-12-20 23:34:46.330291,Toluca,14.27,Mexico,Spanish,Mild,872044,505881,366163
2023-12-20 23:34:46.895012,Toronto,2.14,Canada,English,Temp,2731571,0,2731571
2023-12-20 23:34:47.344753,Toulouse,9.0,France,French,Temperate,479553,433055,46498
2023-12-20 23:34:47.856988,Tucson,17.39,United States,English,Desert,541811,5652,536159
2023-12-20 23:34:48.289623,Turin,7.77,Italy,Italian,Temperate,872367,865263,7104
2023-12-20 23:34:48.716880,Vancouver,7.53,Canada,English,Mild,631486,1837969,1206483
2023-12-20 23:34:49.156193,Vaughan,0.56,Canada,English,Temp,306233,8255,297978
2023-12-20 23:34:49.582000,Victoria,7.4,Canada,English,Mild,367770,289625,78145
2023-12-20 23:34:49.976093,Washington,5.29,United States,English,Temp,692683,601723,90960
2023-12-20 23:34:50.392594,Winnipeg,-3.57,Canada,English,Temp,705244,632063,73181
2023-12-20 23:34:50.847342,Yokohama,6.66,Japan,Japanese,Humid subtropical,3775000,3574443,200557
